year,sample_question_id,normalized_question,question_text,topic,source_file,occurrence_count,first_line
4th Year,7b21dd51956e,what do you mean by lamport s logical clock,What do you mean by Lamport's Logical clock?,TCS-801/1890/4,4th-year.pdf,1,2830
4th Year,6c0daf1062b8,what do you mean by leadership commitment,What do you mean by Leadership Commitment?,QUALITY SYSTEM AND MANAGEMENT,4th-year.pdf,1,4000
4th Year,6adeb1e6397a,what do you mean by multiuser and multitasking operating system,What do you mean by multiuser and multitasking operating system?,HOBT,4th-year.pdf,1,6595
4th Year,e89109c898bb,what do you mean by one way property in hash function,(b) What do you mean by one way property in hash function?,BCST-802/BITT-802,4th-year.pdf,1,7118
4th Year,d7999a488870,what do you mean by pram algorithm,What do you mean by PRAM algorithm?,[P.T.O.],4th-year.pdf,1,287
4th Year,ddfcdbca38eb,what do you mean by problem of mutual exclusion os in distributed system,(a) What do you mean by problem of Mutual Exclusion OS= in distributed system?,TCS-801/1890/4,4th-year.pdf,1,2840
4th Year,2bfd0883b3bb,what do you mean by quality charts,What do you mean by quality charts?,QUALITY SYSTEM AND MANAGEMENT,4th-year.pdf,1,5646
4th Year,f7b2531ab9da,what do you mean by syndicating contents with rss,What do you mean by syndicating contents with RSS?,WEB TECHNOLOGY,4th-year.pdf,1,7258
4th Year,5da122358a9b,what do you mean by system backup and recovery and how it is implemented in,What do you mean by system backup and recovery and how it is implemented in,HOBT,4th-year.pdf,1,6631
4th Year,590bff6720a9,what do you mean by the term system administrator,What do you mean by the term System Administrator?,SYSTEM ADMINISTRATION,4th-year.pdf,1,6504
4th Year,1900b96498eb,what do you mean by traffic analysis and traffic flow security,What do you mean by traffic analysis and traffic flow security?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,2227
4th Year,07b09c607b04,what do you mean confusion and diffusion,What do you mean confusion and diffusion?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,2204
4th Year,7fca04aebbe6,what do you meant by client server communication,What do you meant by client server communication?,(5X4=20),4th-year.pdf,1,5109
4th Year,f432c214d50c,what do you understand by a dual signature that,What do you understand by a dual signature that,BCST-802/BITT-802,4th-year.pdf,1,7138
4th Year,90bac5dafa11,what do you understand by an activation function,What do you understand by an activation function?,SOFT COMPUTING,4th-year.pdf,1,5935
4th Year,6f8df6d7c332,what do you understand by switching design,What do you understand by Switching Design?,Q2.,4th-year.pdf,1,1008
4th Year,a4e258568fe8,what do you understand by training of an artificial neural network,What do you understand by training of an artificial neural network?,[P.T.O.],4th-year.pdf,1,6030
4th Year,ae056fded229,what geometric shape is used in cellular system design and why,(d) What geometric shape is used in cellular system design and why ?,MOBILE COMPUTING,4th-year.pdf,1,3632
4th Year,253c5cd6e8d2,what hit rate is needed to support a processor system,What hit rate is needed to support a 20-processor system?,SECTION-2,4th-year.pdf,1,3191
4th Year,0bfcd2028dd5,what information is stored in i node,What information is stored in I-node?,TCS-701/TIT701,4th-year.pdf,1,6398
4th Year,96938ebc1420,what information is stored in inode,What information is stored in Inode ?,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4186
4th Year,f8359e59868f,what is,What is,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4229
4th Year,2dfd2a78b24d,what is a firewall,What is a firewall?,(C),4th-year.pdf,1,2066
4th Year,0cd63336300d,what is a key distribution center,(ii)What is a Key distribution center?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,2003
4th Year,dd5a2d5066de,what is a perceptron network,What is a perceptron network?,[P.T.O.],4th-year.pdf,1,6209
4th Year,26d25d910c6a,what is a transaction,(b) What is a transaction?,E34,4th-year.pdf,1,2528
4th Year,152551600dc6,what is addition multiplicative and additive inverses modulo,"(c) What is addition, multiplicative and additive inverses modulo 8?",BCST-802/BITT-802,4th-year.pdf,1,7120
4th Year,4674838d2efd,what is adhoc networks,(a) What is adhoc networks?,DS-1096],4th-year.pdf,1,3719
4th Year,5986d6ad9309,what is amdahl s law,What is Amdahl's law?,[P.T.O.],4th-year.pdf,1,734
4th Year,eaad7a43b160,what is authentication protocol,What is authentication protocol?,MB2) HOSTI,4th-year.pdf,1,2271
4th Year,130cd6d9c8d5,what is bluetooth,What is Bluetooth?,NETWORKS,4th-year.pdf,1,1483
4th Year,f6e9e54b0f9b,what is boot disk,What is boot disk?,ΤΕΘΕΙΘΕΟΣ,4th-year.pdf,1,6751
4th Year,f90a52092c77,what is cache coherence,What is cache coherence?,[P.T.O.],4th-year.pdf,1,315
4th Year,fec75990a3b0,what is clustering analysis,What is clustering analysis?,OPTICS,4th-year.pdf,1,4441
4th Year,fd4fc304a081,what is coda,(c)  What is CODA?,DS-1096],4th-year.pdf,1,3686
4th Year,1599df4bb857,what is data warehouse,What is data warehouse?,DATA WAREHOUSING AND MINING,4th-year.pdf,1,4658
4th Year,1599df4bb857,what is data warehouse,What is data warehouse?,[P.T.O.],4th-year.pdf,1,4421
4th Year,7deb29b28934,what is difference between owner trust field and key legitimacy field,What is difference between owner-trust field and key legitimacy field?,MB2) HOSTI,4th-year.pdf,1,2308
4th Year,625a7b1b86d6,what is difference between ssl connection and ssl,What is difference between SSL connection and SSL,TCS-089/1540,4th-year.pdf,1,2343
4th Year,41d0cbc56e41,what is digital certificate,What is digital certificate?,MB2) HOSTI,4th-year.pdf,1,2291
4th Year,61b8b284a9f7,what is fermat s theorem,(A) What is Fermat's theorem?,5 X 4,4th-year.pdf,1,2094
4th Year,a3ad8f0c44fe,what is file system,What is file system?,SYSTEM ADMINISTRATION,4th-year.pdf,1,6500
4th Year,2089c111ef27,what is firewall,What is firewall?,TCS-089/1540,4th-year.pdf,1,2333
4th Year,5bb9c7d44a80,what is hacking,What is Hacking?,[P.T.O.],4th-year.pdf,1,1042
4th Year,4bcf413f0e1b,what is handover,What is handover?,MOBILE COMPUTING,4th-year.pdf,1,3630
4th Year,cf18bb2981c4,what is hierarchical ip address design,(e) What is Hierarchical IP address Design?,Q2.,4th-year.pdf,1,1022
4th Year,d9ad8580a665,what is hybrid computing,(5 marks) (ii) What is Hybrid computing?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,5883
4th Year,66c0e6f929ae,what is ip filtering explain with suitable example,"What is IP filtering, explain with suitable example.",B.TECH.(CS/IT) (SEMESTER-VII),4th-year.pdf,1,6672
4th Year,8df49aa34f73,what is ipv routing design,What is IPv4 Routing design?,Q2.,4th-year.pdf,1,1012
4th Year,1f21c1788ea9,what is its effect on the pipeline clock period,What is its effect on the pipeline clock period?,ADVANCE COMPUTER ARCHITECTURE,4th-year.pdf,1,646
4th Year,0dd7935deb28,what is linux scheduler,What is LINUX Scheduler?,SYSTEM ADMINISTRATION,4th-year.pdf,1,6550
4th Year,cd40c96f03b1,what is marshalling and unmarshalling,What is marshalling and unmarshalling?,(5X4=20),4th-year.pdf,1,5113
4th Year,263ba69780c5,what is meant by intrusion detection,What is meant by intrusion detection?,(E),4th-year.pdf,1,2076
4th Year,b670557d35d1,what is meant by multi user and multitasking operating system,What is meant by multi user and Multitasking operating system?,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4180
4th Year,18ca8774da99,what is metadata,What is metadata?,DATA WAREHOUSING AND MINING,4th-year.pdf,1,4627
4th Year,23b801f2cb6e,what is midi message,What is MIDI message?,VO1230,4th-year.pdf,1,3836
4th Year,e66c0c90d286,what is mobile agent,(b) What is Mobile Agent?,DS-1096],4th-year.pdf,1,3707
4th Year,d077557a91c5,what is modular network design,What is Modular Network Design?,ADVANCE COMPUTER NETWORK,4th-year.pdf,1,988
4th Year,76f3d5762a55,what is mounting,What is mounting?,SYSTEM ADMINISTRATION,4th-year.pdf,1,6496
4th Year,1338c0a58031,what is network design,(a) What is Network Design?,ADVANCE COMPUTER NETWORK,4th-year.pdf,1,982
4th Year,0b51c08c5865,what is olap,What is OLAP?,DATA WAREHOUSING AND MINING,4th-year.pdf,1,4635
4th Year,4555ee7d7f88,what is online transaction processing,What is online transaction processing (OLTP)?,DATA WAREHOUSING AND MINING,4th-year.pdf,1,4364
4th Year,5213f2edfc42,what is passphrase,What is passphrase?,MB2) HOSTI,4th-year.pdf,1,2304
4th Year,e36e25fb8405,what is process,What is process?,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4229
4th Year,adf0dd5edde1,what is qos model,What is QoS Model?,Q4.,4th-year.pdf,1,1065
4th Year,41fdb9f4f095,what is reservation table,What is Reservation table?,TCS-702/1420,4th-year.pdf,1,339
4th Year,810a06dfdd0e,what is routing,What is Routing?,TCS-089/1540,4th-year.pdf,1,2363
4th Year,64bc7652683a,what is ruby,What is Ruby?,[P.T.O.],4th-year.pdf,1,7284
4th Year,01b150b48995,what is safe campus design,What is SAFE Campus Design?,[P.T.O.],4th-year.pdf,1,1046
4th Year,722e101f64d1,what is ssl and set,What is SSL and SET?,TCS-089/1540,4th-year.pdf,1,2343
4th Year,c6d3351e3900,what is steganography,What is Steganography?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,2200
4th Year,affceff763a9,what is supervised and unsupervised learning,What is supervised and unsupervised learning?,OPTICS,4th-year.pdf,1,4441
4th Year,e0f9eb6d17ac,what is the,What is the,LDAP?,4th-year.pdf,1,6457
4th Year,82a193f47df1,what is the adaptive resonance theory,(5 marks) (ii) What is the Adaptive Resonance Theory?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,5868
4th Year,0527ff3da9ff,what is the difference between a b g and n,"What is the difference between 802.11a, 11b, 11g and 802.11n?",(B),4th-year.pdf,1,1146
4th Year,4cb8c9616570,what is the difference between a block and stream cipher,(ii) What is the difference between a block and stream cipher?,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,1978
4th Year,a93562e772a7,what is the difference between an ssl connection,What is the difference between an SSL connection,P.T.O.,4th-year.pdf,1,7171
4th Year,e182f48ddaaa,what is the difference between block cipher and stream cipher,What is the difference between block cipher and stream cipher?,(B),4th-year.pdf,1,2102
4th Year,6e51ffa7a90c,what is the difference between cluster computing and grid computing,What is the difference between cluster computing and grid computing?,SECTION-1,4th-year.pdf,1,3111
4th Year,26c6853d4ca8,what is the difference between init and inittab,What is the difference between init and inittab?,B.TECH.(CS/IT) (SEMESTER-VII),4th-year.pdf,1,6698
4th Year,6a7704aebb1d,what is the difference between regression and clustering,What is the difference between regression and clustering?,DATA WAREHOUSING AND MINING,4th-year.pdf,1,4631
4th Year,ce5d5dc853ec,what is the difference between rmi and rpc,What is the difference between RMI and RPC?,(5X4=20),4th-year.pdf,1,5101
4th Year,314e0cb8c624,what is the difference between row,What is the difference between row,C12,4th-year.pdf,1,5489
4th Year,8d6df3263f22,what is the difference between virus and trojan horse,What is the difference between virus and trojan horse?,(E),4th-year.pdf,1,2124
4th Year,74a774a487e9,what is the difference between web servers web browser,What is the difference between web servers & web browser?,WEB TECHNOLOGY,4th-year.pdf,1,7228
4th Year,a4af177a75c1,what is the difference between wifi and bluetooth,What is the difference between WiFi and Bluetooth?,(C),4th-year.pdf,1,1150
4th Year,81830041221f,what is the distributed system,What is the distributed system?,Q.1,4th-year.pdf,1,4905
4th Year,708276c2f967,what is the function of kernel,What is the function of Kernel?,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4199
4th Year,e498fc48feb6,what is the functionality of,What is the functionality of,HOBT,4th-year.pdf,1,6625
4th Year,dfc97d04f559,what is the functionality of export file in,What is the functionality of Export file in,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4275
4th Year,8dddfdcf07f0,what is the limitation of lamport s logical clock,What is the limitation of Lamport's Logical clock?,TCS-801/1890/4,4th-year.pdf,1,2830
4th Year,b512153e4a72,what is the maximum number of processors that can be supported by this system,(a) What is the maximum number of processors that can be supported by this system?,SECTION-2,4th-year.pdf,1,3185
4th Year,0d3fb6b44697,what is the minimum allowed constant cycle in using this pipeline,What is the minimum allowed constant cycle in using this pipeline?,TCS-702/1920,4th-year.pdf,1,954
4th Year,b9801ded21b1,what is the minimum average latency of the pipeline,What is the minimum average latency (MAL) of the pipeline?,TCS-702/1920,4th-year.pdf,1,950
4th Year,7d06137f71c9,what is the name of main configuration file name for ldap server,(d) What is the name of main configuration file name for LDAP server?,HOBT,4th-year.pdf,1,6591
4th Year,d5c6f7d62d09,what is the principle behind it,What is the principle behind it?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,1889
4th Year,52b165c4da22,what is the principle of digitization,What is the principle of digitization?,5X4 20,4th-year.pdf,1,3794
4th Year,0b60c972370c,what is the reaction of standard tcp in case,What is the reaction of standard TCP in case,DS-1096],4th-year.pdf,1,3666
4th Year,bdecb95ed3c3,what is the registration process of iso,What is the registration process of ISO 9000?,QFD,4th-year.pdf,1,4131
4th Year,cd8f458fc6b4,what is the role of computational energy function in the discrete time hoplield network,What is the role of computational energy function in the Discrete-Time Hoplield network?,[P.T.O.],4th-year.pdf,1,6005
4th Year,75405af33432,what is the role of coordinator in distributed transaction,(a) What is the role of coordinator in distributed transaction ?,(10X2=20),4th-year.pdf,1,5162
4th Year,a5baaed3d624,what is the role of ip address and explain the process of assigning ip address,What is the role of IP address and explain the process of assigning IP address.,B.TECH.(CS/IT) (SEMESTER-VII),4th-year.pdf,1,6668
4th Year,e55b72191876,what is the role of proxy server in firewalls,What is the role of proxy server in firewalls?,ΤΕΘΕΙΘΕΟΣ,4th-year.pdf,1,6780
4th Year,0f12c7f222eb,what is the role of quality policy for an,What is the role of Quality Policy for an,QUALITY SYSTEM AND MANAGEMENT,4th-year.pdf,1,3990
4th Year,684a2dce1a9e,what is the role of rdf in the web,What is the role of RDF in the web?,[P.T.O.],4th-year.pdf,1,7299
4th Year,a39183fb86ec,what is the role of system administrator,(b) What is the role of System Administrator?,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4265
4th Year,554e5ec11d16,what is the structure of public key and private key,What is the structure of public key and private key?,MB2) HOSTI,4th-year.pdf,1,2300
4th Year,04f7e1fab25d,what is the use of host and network file,What is the use of host and network file?,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4248
4th Year,6813a77e7034,what is the use of inode,What is the use of Inode?,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4186
4th Year,83ac9796f5c9,what is the use of middleware,What is the use of Middleware ?,(5X4=20),4th-year.pdf,1,5084
4th Year,6b9a3ef33385,what is the various control statements used in java,What is the various control statements used in Java?,[4X5 = 20],4th-year.pdf,1,7405
4th Year,6bb1fb4ffe82,what is the working principle of cellular code division multiple access what are its advantages compared to other multiple access techniques d explain the concept and importance of transmit diversity with example e define the different types of diversity in wireless communication explain how diversity improves communication reliability in fading environments f explain the different modes of wireless communication,What is the working principle of Cellular Code Division Multiple Access (CDMA)?  What are its advantages compared to other multiple access techniques? d) Explain the concept and importance of transmit diversity with example. e) Define the different types of diversity in wireless communication. Explain how  diversity improves communication reliability in fading environments. f) Explain the different modes of wireless communication.,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,7530
4th Year,32919f606b7c,what is the xml attributes,What is the XML attributes?,[4X5 = 20],4th-year.pdf,1,7434
4th Year,72f16f3c64ee,what is the xml element,What is the XML element?,[4X5 = 20],4th-year.pdf,1,7434
4th Year,193f3594d141,what is their use as system administrator,What is their use as system administrator.,Q.1,4th-year.pdf,1,6824
4th Year,f257cbb45d61,what is thread,What is thread?,TCS-702/1420,4th-year.pdf,1,430
4th Year,d6cd664f5667,what is time series analysis,What is time series analysis?,TCS-703/1400,4th-year.pdf,1,4493
4th Year,2568c6981d9e,what is use of active directory in windows,What is use of Active Directory in windows 2000 ?,"(SEM. VII) (ODD SEM.) (REG.) EXAMINATION, 2012-13 SYSTEM ADMINISTRATION",4th-year.pdf,1,4234
4th Year,ea98b39e393b,what is use of host and ns switch configuration file b why backup is so,What is use of host and ns switch configuration file. b) Why Backup is so,10X2,4th-year.pdf,1,6449
4th Year,537a0a70065a,what is web service,(a) What is Web Service?,WEB TECHNOLOGY,4th-year.pdf,1,7244
4th Year,6f2662ab83d5,what is wireless lan design,(a) What is Wireless LAN Design?,Q4.,4th-year.pdf,1,1061
4th Year,ab378fc46877,what kind of information a reservation table can provide,What kind of information a reservation table can provide?,TCS-702/1420,4th-year.pdf,1,339
4th Year,a1dffc4a17d8,what kind of olap tools and data mining tools in terms of overall ds dw dm architecture would you plan to support use,What kind of OLAP tools and Data Mining tools in terms of overall DS-DW-DM architecture (2-tier / 3- tier / web based etc.) would you plan to support / use.,DATA MINING & DATA WAREHOUSING,4th-year.pdf,1,5368
4th Year,3ae60e51f375,what percent of the instances were correctly classified,What percent of the instances were correctly classified?,DATA MINING & DATA WAREHOUSING,4th-year.pdf,1,5420
4th Year,b841f22db3eb,what preprocessing methods would you employ and why,What preprocessing methods would you employ and why?,DATA MINING & DATA WAREHOUSING,4th-year.pdf,1,5323
4th Year,cca82e09e49b,what protocols comprise ssl,(a) What protocols comprise SSL?,P.T.O.,4th-year.pdf,1,7171
4th Year,9882ac3194de,what role does it play,What role does it play,"ODD SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,110
4th Year,6b1295b756f0,what security features should i look for when buying a wireless router,(E) What Security Features Should I Look for When Buying a wireless router?,"CSE, VIII",4th-year.pdf,1,1134
4th Year,11560eb3717e,what the difference is between include and require,What the difference is between include and require?,[4X5 = 20],4th-year.pdf,1,7446
4th Year,a6bc670b5d15,what types of information might be,What types of information might be,CRYPTOGRAPHY AND NETWORK SECURITY,4th-year.pdf,1,2227
4th Year,4939e398a47f,what will be the maximum throughput of this pipeline,What will be the maximum throughput of this pipeline?,TCS-702/1920,4th-year.pdf,1,958
4th Year,5b50944fd776,what will be the speedup efficiency andthroughput of the,"What will be the speedup, efficiency andthroughput of the",Q.3.,4th-year.pdf,1,521
4th Year,7575894e65c9,what will be the throughput if the minimum constant cycle is used,What will be the throughput if the minimum constant cycle is used?,TCS-702/1920,4th-year.pdf,1,962
4th Year,2dca43ea5a5f,what will the output of the following program,What will the output of the following program?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,4839
4th Year,0d33f6e7ecb4,what would be the future prescription of a doctor based on patient information using c algorithm,What would be the future prescription of a doctor based on patient information using C4.5 algorithm.,AAD,4th-year.pdf,1,3493
4th Year,aa268a1549c1,what would be the source of data for this application,What would be the source of data for this application?,DATA MINING & DATA WAREHOUSING,4th-year.pdf,1,5321
4th Year,c8f00d80944c,what you understand by ip filtering,(b) What you understand by IP filtering?,NFS ?,4th-year.pdf,1,4278
4th Year,f8f9dcfdbdd2,when does,When Does,(A),4th-year.pdf,1,3029
4th Year,7b770525df88,which are the major categories of advanced optimization of cache performance,Which are the major categories of advanced optimization of cache performance?,M32) (320) HOT,4th-year.pdf,1,814
4th Year,31404d5b431e,which feature from those listed above would you look for when selecting a data mining system,Which feature(s) from those listed above would you look for when selecting a data mining system?,C12,4th-year.pdf,1,5495
4th Year,d03c958850a5,which implementation techniques do you prefer and why,"Which implementation techniques do you prefer, and why?",DATA MINING & DATA WAREHOUSING,4th-year.pdf,1,5293
4th Year,97179f45b747,which is optimal,Which is optimal?,(B),4th-year.pdf,1,3233
4th Year,59034529d27e,which offers more security for information assets on trusted network,Which offers more security for information assets on trusted network?,BCST-802/BITT-802,4th-year.pdf,1,7135
4th Year,e87b764f6d59,why are they used,Why are they used?,WEB TECHNOLOGY,4th-year.pdf,1,7219
4th Year,91457c42029c,why backup is so important,(c) Why backup is so important?,NFS ?,4th-year.pdf,1,4281
4th Year,f42d2da49618,why clustering is known,Why clustering is known,OPTICS,4th-year.pdf,1,4441
4th Year,e1f821fc7207,why digital signature required,(b) Why digital signature required?,MB2) HOSTI,4th-year.pdf,1,2273
4th Year,e42dde74c235,why is asymmetric cryptography bad for huge data,(b) Why is asymmetric cryptography bad for huge data?,BCST-802/BITT-802,4th-year.pdf,1,7105
4th Year,7e0c2a353b9a,why is computer clock synchronization necessary,(c) Why is computer clock synchronization necessary?,TCS-801,4th-year.pdf,1,2807
4th Year,7e0c2a353b9a,why is computer clock synchronization necessary,Why is computer clock synchronization necessary?,Q.1,4th-year.pdf,1,4918
4th Year,90dff065bf45,why is multimedia presentation standard needed,Why is multimedia presentation standard needed?,"(SEM. VIII) EXAMINATION, 2012 MULTIMEDIA COMMUNICATION & SYSTEM DESIGN",4th-year.pdf,1,3751
4th Year,f791a1825c15,why it is important,Why it is important?,DATA WAREHOUSING AND MINING,4th-year.pdf,1,4627
4th Year,09eb755318d0,why ldap is,Why LDAP is,HOBT,4th-year.pdf,1,6591
4th Year,5ce8f43621a4,why openness is needed explain with example,Why Openness is Needed explain with example.,(5X4=20),4th-year.pdf,1,5076
4th Year,c5e5d78e4b5f,with suitable example b what is fuzzy inference system,with suitable example. (5 marks)  b) What is Fuzzy Inference System?,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,5874
4th Year,35058614f143,with symmetric encryption for message authentication,with symmetric encryption for message authentication?,MB2) HOSTI,4th-year.pdf,1,2263
4th Year,8001a3528253,woy i ball od oto of bre cii teqe b what are the different administrative,woy i ball od oto of bre CII teqe b) What are the different administrative,010X20-80T,4th-year.pdf,1,6436
4th Year,c5d469017134,write a brief note on the history of internet,Write a brief note on the history of Internet?,WEB TECHNOLOGY,4th-year.pdf,1,7211
4th Year,e4ff4be8d77f,write a note on lrpc with diagram,Write a note on LRPC with diagram?,(10X2=20),4th-year.pdf,1,5137
4th Year,aaade9ecc843,write a short note on bully debugging,(f) Write a short note on bully debugging?,Q.1,4th-year.pdf,1,4922
4th Year,c3751e46240a,write an algorithm to implement simulated annealing,Write an algorithm to implement simulated annealing?,[P.T.O.],4th-year.pdf,1,6053
4th Year,635b72ec3d70,write down the message exchanges for,Write down the message exchanges for,MB2) HOSTI,4th-year.pdf,1,2279
4th Year,0a39bd8783ae,write down their,Write down their,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,1,5883
4th Year,91417a237a63,write five differences in between mpi and open mp what is hybridization,Write five Differences in between MPI and Open MP. (B) What is Hybridization?,(A),4th-year.pdf,1,3029
4th Year,60ef184c1949,write short notes on db miner explain the applications,Write short notes on DB miner .Explain the applications,TCS-703/1400,4th-year.pdf,1,4493
4th Year,ae779a19f8f3,write steps for the same,Write steps for the same.,Q.2,4th-year.pdf,1,6876
4th Year,586474b49229,write the authentication dialogue,Write the authentication dialogue?,P.T.O.,4th-year.pdf,1,7185
4th Year,bfcbef4a11db,write the difference between mobile and ubiquitous computing,(f) Write the difference between mobile and ubiquitous computing?,[P.T.O.],4th-year.pdf,1,4958
4th Year,987927a478b5,write the suitable difference between semantic web www,Write the suitable difference between Semantic Web & WWW?,[P.T.O.],4th-year.pdf,1,7295
4th Year,187e764fdea7,write the various goals that,Write the various goals that,SYSTEM ADMINISTRATION,4th-year.pdf,1,6504
4th Year,26b1fd6c9025,x what is cryptography,5 X 4 What is cryptography?,(B),4th-year.pdf,1,2060
3rd Year,534e8c894772,t o,T.O.,P.T.O.,CSE-3rd-year.pdf,4,3467
3rd Year,7de9e4fd1cca,define the following terms,Define the following terms:,Section A,CSE-3rd-year.pdf,3,1729
3rd Year,c95ee47689a0,tech,TECH. (CSE) (SEMESTER-V),B.TECH. (CSE) (SEMESTER-V),CSE-3rd-year.pdf,3,1719
3rd Year,a6b9690c150c,a data file of characters contains only the,"A data file of 100,000 characters contains only the",Section E,CSE-3rd-year.pdf,2,7217
3rd Year,d814b0059152,a what do you understand by directive principles of state policy,a) What do you understand by Directive Principles of State Policy?,CONSTITUTION OF INDIA,CSE-3rd-year.pdf,2,2594
3rd Year,3e460ee5ca60,apply and show stepwise,Apply and show stepwise,Section C Section,CSE-3rd-year.pdf,2,7153
3rd Year,618e82323171,attempt any two parts of the following,Attempt any TWO parts of the following,(C),CSE-3rd-year.pdf,2,432
3rd Year,e9d71f5ee7c9,b,b),CONSTITUTION OF INDIA,CSE-3rd-year.pdf,2,2594
3rd Year,ef7573952f0b,constitution,constitution?,CONSTITUTION OF INDIA,CSE-3rd-year.pdf,2,2599
3rd Year,eb050e6342d5,differentiate between min heap and max heap,Differentiate between Min-Heap and Max-Heap?,Section C Section,CSE-3rd-year.pdf,2,7153
3rd Year,426fe37bf4fe,differentiate between sparse and dense graphs,Differentiate between sparse and dense graphs?,Section C Section,CSE-3rd-year.pdf,2,7158
3rd Year,249d56e4f1fa,discuss the fundamental rights conferred to citizens as per the indian constitution,Discuss the Fundamental Rights conferred to citizens as per the Indian  Constitution.,CONSTITUTION OF INDIA,CSE-3rd-year.pdf,2,2595
3rd Year,7f04fe5a3c8e,discuss time complexity of insertion sort algorithm in its best case,Discuss time complexity of Insertion Sort Algorithm in its best case.,Section D,CSE-3rd-year.pdf,2,7185
3rd Year,f7c1380a0d71,explain,Explain.,ST021_005 | 103.170.7,CSE-3rd-year.pdf,2,2316
3rd Year,a70e34c32a84,explain how we can solve a given knapsack problem with the help of branch and bound techniques,Explain how we can solve a given 0/1 Knapsack problem with the help of Branch and Bound techniques,Section C Section,CSE-3rd-year.pdf,2,7166
3rd Year,ad958fbce0a4,give algorithm of heap sort,Give algorithm of Heap Sort,Section C Section,CSE-3rd-year.pdf,2,7175
3rd Year,5200bd4849c5,give algorithm to solve the queen problem using backtracking approach,Give algorithm to solve the 8-Queen problem using backtracking approach.,Section C Section,CSE-3rd-year.pdf,2,7171
3rd Year,de5029608724,give bellman ford algorithm for single source shortest path,Give bellman-ford algorithm for single source shortest path.,Section B,CSE-3rd-year.pdf,2,7126
3rd Year,7737ffcc12c1,have multiple spanning trees,have multiple spanning trees?,03 [P.T.O.],CSE-3rd-year.pdf,2,7138
3rd Year,c1c01d7e3936,if yes provide a suitable example,"If yes, provide a suitable example.",03 [P.T.O.],CSE-3rd-year.pdf,2,7138
3rd Year,c1c01d7e3936,if yes provide a suitable example,"If yes, provide a suitable example.",Section B,CSE-3rd-year.pdf,2,7124
3rd Year,662893da2fe1,is better and inwhich case,is better and inwhich case?,Section C Section,CSE-3rd-year.pdf,2,7160
3rd Year,908786afd3a1,is it possible for a graph to,Is it possible for a graph to,03 [P.T.O.],CSE-3rd-year.pdf,2,7136
3rd Year,93558813002b,is it possible for a graph to have,Is it possible for a graph to have,Section B,CSE-3rd-year.pdf,2,7122
3rd Year,dd10a31b68b1,length encoding,length encoding?,Section E,CSE-3rd-year.pdf,2,7225
3rd Year,6dce0043c03e,multiple spanning trees,multiple spanning trees?,Section B,CSE-3rd-year.pdf,2,7124
3rd Year,b8c36a065388,per indian constitution,per  Indian Constitution?,CONSTITUTION OF INDIA,CSE-3rd-year.pdf,2,2609
3rd Year,289d2310e55f,please explain using a suitable example,Please explain using a suitable example,03 [P.T.O.],CSE-3rd-year.pdf,2,7143
3rd Year,7efabe9841dd,recurrence tree what do you understand by this analysis,recurrence tree. What do you understand by this analysis?,Section E,CSE-3rd-year.pdf,2,7230
3rd Year,ec4ab08b2f4f,sic,0sic,Section A,CSE-3rd-year.pdf,2,7076
3rd Year,bbb930cc4265,statement,statement?,03 [P.T.O.],CSE-3rd-year.pdf,2,7143
